risorsa;dimensione;disponibile
C001;7;2025-04-27
C002;7;2025-04-27
C003;7;2025-04-27
C004;7,5;2025-04-27
C005;7,5;2025-04-27
C006;7,5;2025-04-27
C007;7;2025-04-27
C008;7,5;2025-04-27
C009;8;2025-04-27
C010;8;2025-04-27
C011;7;2025-04-27
C012;7;2025-04-27
C013;7;2025-04-27
C014;7;2025-04-27
C015;7,5;2025-04-27
C016;7;2025-04-27
C017;6,5;2025-04-27
C018;7,5;2025-04-27
C019;7,5;2025-04-27
C020;7,5;2025-04-27
C021;6,5;2025-04-27
C022;7,5;2025-04-27
C023;7;2025-04-27
C024;6,5;2025-04-27
C025;7,5;2025-04-27
C026;7,5;2025-04-27
C027;7,5;2025-04-27
C028;7,5;2025-04-27
C029;7,5;2025-04-27
C030;7,5;2025-04-27
C031;8;2025-04-27
C032;6,5;2025-04-27
C033;7;2025-04-27
C034;7,5;2025-04-27
C035;7,5;2025-04-27
C036;7;2025-04-27
C037;7,5;2025-04-27
C038;7;2025-04-27
C039;8;2025-04-27
C040;8;2025-04-27
C041;7,5;2025-04-27
C042;7;2025-04-27
C043;7;2025-04-27
C044;7;2025-04-27
C045;7;2025-04-27
C046;7;2025-04-27
C047;7,5;2025-04-27
C048;7,5;2025-04-27
C049;7,5;2025-04-27
C050;8;2025-04-27
C051;7;2025-04-27
C052;7;2025-04-27
C053;7;2025-04-27
C054;7;2025-04-27
C055;7;2025-04-27
C056;7;2025-04-27
C057;7;2025-04-27
C058;7,5;2025-04-27
C059;7,5;2025-04-27
C060;6,5;2025-04-27
C061;7,5;2025-04-27
C062;7,5;2025-04-27
C063;7;2025-04-27
C064;7,5;2025-04-27
C065;7,5;2025-04-27
C066;7;2025-04-27
C067;7;2025-04-27
C068;6,5;2025-04-27
C069;7,5;2025-04-27
C070;7,5;2025-04-27
C071;6,5;2025-04-27
C072;7,5;2025-04-27
C073;7;2025-04-27
C074;7,5;2025-04-27
C075;5;2025-04-27
C076;6,5;2025-04-27
C077;7,5;2025-04-27
C078;6,5;2025-04-27
C079;7;2025-04-27
C080;7;2025-04-27
C081;7;2025-04-27
C082;7,5;2025-04-27
C083;7,5;2025-04-27
C084;7;2025-04-27
C085;6,5;2025-04-27
C086;7;2025-04-27
C087;7;2025-04-27
C088;7,5;2025-04-27
C089;7;2025-04-27
C090;6,5;2025-04-27
C091;6,5;2025-04-27
C092;7,5;2025-04-27
C093;7,5;2025-04-27
C094;7,5;2025-04-27
C095;7,5;2025-04-27
C096;8;2025-04-27
C097;8;2025-04-27
C098;8;2025-04-27
C099;7,5;2025-04-27
C100;8;2025-04-27
C101;7,5;2025-04-27
C102;7;2025-04-27
C103;7,5;2025-04-27
C104;7;2025-04-27
C105;7;2025-04-27
C106;7,5;2025-04-27
C107;8;2025-04-27
C108;8;2025-04-27
C109;6,5;2025-04-27
C110;7;2025-04-27
C111;7;2025-04-27
C112;6,5;2025-04-27
C113;7;2025-04-27
C114;7;2025-04-27
C115;7,5;2025-04-27
C116;7,5;2025-04-27
C117;7,5;2025-04-27
C118;6;2025-04-27
C119;6;2025-04-27
C120;6,5;2025-04-27
C121;6,5;2025-04-27
C122;7;2025-04-27
C123;7;2025-04-27
C124;7,5;2025-04-27
C125;7;2025-04-27
C126;7,5;2025-04-27
C127;7,5;2025-04-27
C128;7;2025-04-27
C129;7,5;2025-04-27
C130;7;2025-04-27
C131;7,5;2025-04-27
C132;7,5;2025-04-27
C133;7,5;2025-04-27
C134;7,5;2025-04-27
C135;7,5;2025-04-27
C136;7,5;2025-04-27
C137;7;2025-04-27
C138;6,5;2025-04-27
C139;7;2025-04-27
C140;7,5;2025-04-27
C141;7,5;2025-04-27
C143;7,5;2025-04-27
C144;7,5;2025-04-27
C145;7,5;2025-04-27
C146;7,5;2025-04-27
C148;7,5;2025-04-27
C149;7;2025-04-27
C150;7,5;2025-04-27
C151;7,5;2025-04-27
C152;7,5;2025-04-27
B200;6;2025-04-27
B201;5;2025-04-27
B202;5;2025-04-27
B203;5;2025-04-27
B204;6;2025-04-27
B205;6;2025-04-27
B206;5;2025-04-27
B207;6;2025-04-27
B208;6,5;2025-04-27
B211;5;2025-04-27
B212;4;2025-04-27
B213;6,5;2025-04-27
B214;6,5;2025-04-27
B215;5;2025-04-27
B217;4;2025-04-27
B218;5;2025-04-27
B219;6,5;2025-04-27
B220;5;2025-04-27
B221;4;2025-04-27
B222;5;2025-04-27
B223;5;2025-04-27
B225;7,5;2025-04-27
B226;7,5;2025-04-27
B227;7,5;2025-04-27
B228;7;2025-04-27
B229;5;2025-04-27
B230;6,5;2025-04-27
B231;7;2025-04-27
B232;7;2025-04-27
B233;6,5;2025-04-27
B234;7;2025-04-27
B235;7,5;2025-04-27
B236;7,5;2025-04-27
B237;7;2025-04-27
B238;7,5;2025-04-27
B239;7,5;2025-04-27
B240;6,5;2025-04-27
B242;6;2025-04-27
B247;7;2025-04-27
B253;7,5;2025-04-27
B255;7;2025-04-27
B256;7;2025-04-27
B257;7;2025-04-27
B258;7;2025-04-27
